date,series_id,value,temperature_index,promotion_index,holiday_flag
2024-01-01,demand,105,0.20,0.00,0
2024-02-01,demand,108,0.22,0.00,0
2024-03-01,demand,115,0.35,0.10,0
2024-04-01,demand,121,0.48,0.05,0
2024-05-01,demand,130,0.60,0.10,0
2024-06-01,demand,146,0.74,0.15,0
2024-07-01,demand,155,0.86,0.10,1
2024-08-01,demand,151,0.84,0.05,0
2024-09-01,demand,139,0.70,0.00,0
2024-10-01,demand,128,0.54,0.05,0
2024-11-01,demand,119,0.38,0.25,1
2024-12-01,demand,136,0.25,0.40,1
2025-01-01,demand,111,0.18,0.00,0
2025-02-01,demand,114,0.23,0.00,0
2025-03-01,demand,122,0.37,0.05,0
2025-04-01,demand,129,0.50,0.05,0
2025-05-01,demand,140,0.63,0.10,0
2025-06-01,demand,158,0.77,0.15,0
2025-07-01,demand,169,0.88,0.10,1
2025-08-01,demand,164,0.85,0.05,0
2025-09-01,demand,150,0.72,0.00,0
2025-10-01,demand,137,0.55,0.05,0
2025-11-01,demand,128,0.39,0.25,1
2025-12-01,demand,147,0.27,0.40,1
2026-01-01,demand,120,0.19,0.00,0
2026-02-01,demand,124,0.24,0.00,0
2026-03-01,demand,133,0.38,0.05,0
2026-04-01,demand,141,0.52,0.05,0
2026-05-01,demand,153,0.65,0.10,0
2026-06-01,demand,172,0.78,0.15,0
