replica_id,shard_id,node_id,is_leader,commit_index,applied_index,lag_ops,replica_state,last_snapshot_time
r001,s001,n001,1,15000,15000,0,in_sync,2026-05-11T09:50:00Z
r002,s001,n002,0,15000,14998,2,in_sync,2026-05-11T09:50:00Z
r003,s001,n004,0,15000,14992,8,in_sync,2026-05-11T09:49:00Z
r004,s002,n002,1,12100,12100,0,in_sync,2026-05-11T09:50:00Z
r005,s002,n003,0,12100,12097,3,in_sync,2026-05-11T09:50:00Z
r006,s002,n005,0,12100,11950,150,lagging,2026-05-11T09:42:00Z
r007,s003,n003,1,16400,16400,0,in_sync,2026-05-11T09:51:00Z
r008,s003,n001,0,16400,16396,4,in_sync,2026-05-11T09:51:00Z
r009,s003,n006,0,16400,16382,18,lagging,2026-05-11T09:48:00Z
r010,s004,n004,1,9900,9900,0,in_sync,2026-05-11T09:51:00Z
r011,s004,n002,0,9900,9897,3,in_sync,2026-05-11T09:51:00Z
r012,s004,n006,0,9900,9890,10,in_sync,2026-05-11T09:50:00Z
r013,s005,n005,1,13700,13620,80,degraded,2026-05-11T09:43:00Z
r014,s005,n001,0,13700,13697,3,in_sync,2026-05-11T09:50:00Z
r015,s005,n003,0,13700,13696,4,in_sync,2026-05-11T09:50:00Z
